"FlowName","Enabled","DisplayName","UserType","CreatedTime","CreatedBy","LastModifiedTime","EnvironmentName","Internal"
"555f4796-d3d0-4d9e-a0f9-77e96bd81884","False","När ett objekt skapas eller ändras -> Villkor,Hämta filinnehåll,Ska...","Owner","11.02.2022 15:57:55","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=2eee4999-e4b4-4e12-9c98-d01b43cb0fe5; userId=2eee4999-e4b4-4e12-9c98-d01b43cb0fe5; userType=ActiveDirectory}","11.02.2022 15:57:55","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=555f4796-d3d0-4d9e-a0f9-77e96bd81884; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/555f4796-d3d0-4d9e-a0f9-77e96bd81884; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"ab2e5458-bc8b-4c0b-b5e7-9188a86586b6","True","ApiConnection -> Fyll i en Microsoft Word-mall","Owner","02.12.2020 10:48:58","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=2eee4999-e4b4-4e12-9c98-d01b43cb0fe5; userId=2eee4999-e4b4-4e12-9c98-d01b43cb0fe5; userType=ActiveDirectory}","02.12.2020 11:12:42","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=ab2e5458-bc8b-4c0b-b5e7-9188a86586b6; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/ab2e5458-bc8b-4c0b-b5e7-9188a86586b6; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"dced8ab7-a506-4223-afe6-300e2aa0988e","True","PowerApp -> Get a row,Populate a Microsoft Word template","Owner","16.02.2022 14:32:51","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=2eee4999-e4b4-4e12-9c98-d01b43cb0fe5; userId=2eee4999-e4b4-4e12-9c98-d01b43cb0fe5; userType=ActiveDirectory}","22.02.2022 11:04:36","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=dced8ab7-a506-4223-afe6-300e2aa0988e; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/dced8ab7-a506-4223-afe6-300e2aa0988e; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"d19b65b6-d81d-4256-ac36-54bc2735dec6","True","Spara e-postbilagor från Office 365 i OneDrive för företag","Owner","11.01.2019 10:25:32","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=53fd9c7a-5806-437c-a04a-a713dd73d6c9; userId=53fd9c7a-5806-437c-a04a-a713dd73d6c9; userType=ActiveDirectory}","11.01.2019 10:25:34","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=d19b65b6-d81d-4256-ac36-54bc2735dec6; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/d19b65b6-d81d-4256-ac36-54bc2735dec6; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"a420c3e3-8db5-465d-9ec8-adfee30cd658","True","HelpDeskFlow","Owner","09.11.2020 12:19:10","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=7030cf05-63e5-4afb-ab5e-18942faf34d5; userId=7030cf05-63e5-4afb-ab5e-18942faf34d5; userType=ActiveDirectory}","09.11.2020 12:26:42","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=a420c3e3-8db5-465d-9ec8-adfee30cd658; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/a420c3e3-8db5-465d-9ec8-adfee30cd658; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"a6ba0848-6c3a-4200-b5fe-35168428236e","False","Create a task in Asana when a new email arrives in a shared mailbox","Owner","03.03.2021 05:37:00","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=7030cf05-63e5-4afb-ab5e-18942faf34d5; userId=7030cf05-63e5-4afb-ab5e-18942faf34d5; userType=ActiveDirectory}","01.04.2021 08:53:41","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=a6ba0848-6c3a-4200-b5fe-35168428236e; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/a6ba0848-6c3a-4200-b5fe-35168428236e; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"39d4e8f2-fe30-4048-a6bd-4226f039eaaf","False","Spåra dina arbetstimmar","Owner","26.03.2018 16:29:41","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=9a131d9b-6f0c-4d2f-9291-6d0c57055278; userId=9a131d9b-6f0c-4d2f-9291-6d0c57055278; userType=ActiveDirectory}","26.03.2018 16:35:32","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=39d4e8f2-fe30-4048-a6bd-4226f039eaaf; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/39d4e8f2-fe30-4048-a6bd-4226f039eaaf; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"03a74ca5-4cca-4a65-9b01-c786654330dc","False","Spara formulärsvar i SharePoint - 4","Owner","12.11.2018 11:51:10","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=cd5d90d8-be95-4d5c-b236-5e1f24029183; userId=cd5d90d8-be95-4d5c-b236-5e1f24029183; userType=ActiveDirectory}","12.11.2018 12:03:28","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=03a74ca5-4cca-4a65-9b01-c786654330dc; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/03a74ca5-4cca-4a65-9b01-c786654330dc; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"42e0facf-4227-429c-b1fe-e550560189ca","False","Spara formulärsvar i SharePoint - 3","Owner","22.10.2018 13:57:01","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=cd5d90d8-be95-4d5c-b236-5e1f24029183; userId=cd5d90d8-be95-4d5c-b236-5e1f24029183; userType=ActiveDirectory}","22.10.2018 13:57:06","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=42e0facf-4227-429c-b1fe-e550560189ca; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/42e0facf-4227-429c-b1fe-e550560189ca; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"6a7488ba-a6aa-4e26-9375-2b10f6562417","False","Spara formulärsvar i SharePoint","Owner","22.08.2018 10:00:12","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=cd5d90d8-be95-4d5c-b236-5e1f24029183; userId=cd5d90d8-be95-4d5c-b236-5e1f24029183; userType=ActiveDirectory}","22.08.2018 10:04:08","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=6a7488ba-a6aa-4e26-9375-2b10f6562417; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/6a7488ba-a6aa-4e26-9375-2b10f6562417; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"a081e7c6-48f8-4759-bf33-5e5df69d9437","False","OTO - Anmälning","Owner","15.03.2019 13:07:54","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=cd5d90d8-be95-4d5c-b236-5e1f24029183; userId=cd5d90d8-be95-4d5c-b236-5e1f24029183; userType=ActiveDirectory}","18.08.2020 12:57:35","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=a081e7c6-48f8-4759-bf33-5e5df69d9437; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/a081e7c6-48f8-4759-bf33-5e5df69d9437; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"fb8ad6df-63a0-4209-8d80-1f46bc6b0fd5","False","Skicka ett e-postmeddelande när ett objekt i en SharePoint-lista ändras","Owner","29.06.2018 13:43:04","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=cd5d90d8-be95-4d5c-b236-5e1f24029183; userId=cd5d90d8-be95-4d5c-b236-5e1f24029183; userType=ActiveDirectory}","29.06.2018 13:43:04","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=fb8ad6df-63a0-4209-8d80-1f46bc6b0fd5; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/fb8ad6df-63a0-4209-8d80-1f46bc6b0fd5; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"05df188d-5528-4151-af98-aeba4910b0bd","False","PowerApp -> Create a task","Owner","18.01.2018 00:50:27","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=eddb2e5d-3967-497f-ba47-ab350dc3fdc2; userId=eddb2e5d-3967-497f-ba47-ab350dc3fdc2; userType=ActiveDirectory}","02.05.2018 07:22:03","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=05df188d-5528-4151-af98-aeba4910b0bd; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/05df188d-5528-4151-af98-aeba4910b0bd; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"1fc672e2-d6c9-483d-ab98-9e9e102471e7","False","Test_TicketingSystem","Owner","03.07.2021 10:58:34","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=eddb2e5d-3967-497f-ba47-ab350dc3fdc2; userId=eddb2e5d-3967-497f-ba47-ab350dc3fdc2; userType=ActiveDirectory}","03.07.2021 11:23:36","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=1fc672e2-d6c9-483d-ab98-9e9e102471e7; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/1fc672e2-d6c9-483d-ab98-9e9e102471e7; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"2410c535-4bc3-4ef9-aeae-d1e669e9a2a3","False","ErikSandboxCasesSendComment","Owner","03.07.2021 21:27:19","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=eddb2e5d-3967-497f-ba47-ab350dc3fdc2; userId=eddb2e5d-3967-497f-ba47-ab350dc3fdc2; userType=ActiveDirectory}","03.07.2021 21:52:23","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=2410c535-4bc3-4ef9-aeae-d1e669e9a2a3; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/2410c535-4bc3-4ef9-aeae-d1e669e9a2a3; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"3164474f-07fb-4aaf-91c5-08ad4bf09061","False","Flaggade mail till outlook","Owner","08.12.2017 22:06:55","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=eddb2e5d-3967-497f-ba47-ab350dc3fdc2; userId=eddb2e5d-3967-497f-ba47-ab350dc3fdc2; userType=ActiveDirectory}","02.05.2018 07:22:54","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=3164474f-07fb-4aaf-91c5-08ad4bf09061; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/3164474f-07fb-4aaf-91c5-08ad4bf09061; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"334e0dc2-efad-4898-8e9b-128f701997ae","False","KnappSkapaPlannerTask","Owner","17.01.2018 23:43:29","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=eddb2e5d-3967-497f-ba47-ab350dc3fdc2; userId=eddb2e5d-3967-497f-ba47-ab350dc3fdc2; userType=ActiveDirectory}","02.05.2018 07:23:19","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=334e0dc2-efad-4898-8e9b-128f701997ae; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/334e0dc2-efad-4898-8e9b-128f701997ae; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"35c90a91-66d1-4d43-bac5-5a033b4b7b1a","False","Skapa en OneNote-snabbanteckning för viktiga e-postmeddelanden","Owner","08.12.2017 21:53:34","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=eddb2e5d-3967-497f-ba47-ab350dc3fdc2; userId=eddb2e5d-3967-497f-ba47-ab350dc3fdc2; userType=ActiveDirectory}","25.04.2018 13:39:58","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=35c90a91-66d1-4d43-bac5-5a033b4b7b1a; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/35c90a91-66d1-4d43-bac5-5a033b4b7b1a; type=Microsoft.ProcessSimple/environments/flows; properties=}"
